"","Cond","Exp","R1S1_Mean (a.u.)","R1S1_Half_Width (ms)","R1S1_Rise_Time","R1S1_Rise_Slope (a.u./ms)","Decay_Time (ms)","R1S1_Decay_Slope (a.u./ms)"
"1","Control","87-1",5.20011636285461,0.36644853821871,0.274782709445006,53.1685389563097,0.5269501244311,-30.9446739621188
"2","Dau_0.5","87-1",2.00772843398545,0.284643463560847,0.138481410424603,48.4880757640979,0.340639448079365,-14.7780271718307
"3","Dau_1","87-1",3.08338466275383,0.592456591273523,0.241002514917943,37.75975917957,0.709844179838074,-12.0199806891718
"4","Dox_0.5","87-1",3.98526198006432,0.822611181520747,0.331069690352697,32.7135610922884,1.14002043063485,-8.61530980857676
"5","Dox_1","87-1",0.718843693899686,0.294328713159875,0.205766216398119,11.788293658489,0.378880960492163,-5.24100170868652
"6","Epi_0.5","87-1",1.82733160477322,0.657347288281421,0.330294200775956,16.4807785840546,0.780950241262295,-6.72501537449727
"7","Epi_1","87-1",0.406563086973085,0.393987717003106,0.254732475675983,10.0223877564296,0.353357381399586,-6.27843791243375
"8","Mito_0.5","87-1",0.160509034541254,0.216559622221122,0.182030768726073,9.37703303747525,0.241317486221122,-6.06796689932673
"9","Mito_1","87-1",0.115013959176991,0.197577043560472,0.146825623268437,14.8865711435782,0.206216315867257,-8.06054996978171
"10","Tras_0.5","87-1",1.14839879632524,0.384589261956311,0.309583034650485,11.6103479513592,0.43801211215534,-5.82122991553883
"11","Tras_1","87-1",3.57908647855653,0.569097301732746,0.28861106443906,48.4852288676608,0.678450511712188,-14.8413719398253
"12","Control","78-1",4.40050799050714,0.586493651273214,0.268650300053571,48.5109958704357,0.892484482905357,-21.1810820387536
"13","Dau_0.5","78-1",2.82260665772967,0.355461682738832,0.148218628655212,52.3962700957755,0.392769213971363,-14.979404220323
"14","Dau_1","78-1",1.53903095475801,0.526464331715302,0.260564874615658,23.6377149473523,0.690636339419929,-6.66703308306762
"15","Dox_0.5","78-1",4.18260238153422,0.696960885302428,0.393792368214128,27.6363965957748,0.938219758293598,-10.8294324926689
"16","Dox_1","78-1",0.609751333118012,0.200576409490683,0.152168847345342,21.7550181732795,0.298670274670807,-9.54017405680124
"17","Epi_0.5","78-1",1.60601028857031,0.420606331992187,0.317311970273437,13.4906598177539,0.560904305566406,-8.20566556294922
"18","Epi_1","78-1",0.356722342765529,0.374257176305882,0.244549706142353,11.3217743608565,0.324299262303529,-7.51957185767176
"19","Mito_0.5","78-1",0.553011125881356,0.30295578040113,0.262456136344633,11.8031522592768,0.407817101418079,-6.07171011877401
"20","Mito_1","78-1",0.208050529306264,0.189720147259861,0.144367306777262,14.6473515355267,0.194691933846868,-8.00417142131091
"21","Tras_0.5","78-1",3.81375722741844,0.242800935143262,0.212058199465248,69.8942400777362,0.357036851931915,-39.4880405924269
"22","Tras_1","78-1",4.34222091411594,0.647224578981159,0.307626120965217,43.921897542058,0.723857857908696,-13.349070296658
"23","Control","77-1",3.68858147055556,0.242694902920635,0.214129498920635,50.3528551958651,0.341895092003968,-32.8853956247063
"24","Dau_0.5","77-1",0.277102687923077,0.244290233365385,0.180130343451923,24.6943383122019,0.320475119913462,-8.85872026768269
"25","Dau_1","77-1",1.39407367926901,0.28841581148538,0.190530370923977,33.0406188495146,0.453632642888889,-15.6770219245906
"26","Dox_0.5","77-1",1.94553228752,0.399421164973846,0.191941992984615,30.4055520908923,0.514912514710769,-9.12196094630769
"27","Dox_1","77-1",2.72779769848549,0.468369383522427,0.215421614443272,73.9860334712599,0.626333275568602,-21.5704767700264
"28","Epi_0.5","77-1",0.915931060564103,0.217629925980769,0.165896026602564,25.7068691625064,0.298436211153846,-11.9143831509551
"29","Epi_1","77-1",1.07783755430275,0.192038904082569,0.150596004036697,26.5786371598073,0.277175541201835,-11.2043688492385
"30","Mito_0.5","77-1",0.449690591044693,0.291607359201117,0.206582175798883,10.5947217085084,0.349814315743017,-6.14108482336871
"31","Mito_1","77-1",0.112268007764019,0.172539540385514,0.121271455455607,21.8065621599252,0.200410234546729,-6.99186679938551
"32","Tras_0.5","77-1",3.93479858094884,0.2548467448,0.204154684674419,78.8264843748512,0.3806605526,-43.3798874526093
"33","Tras_1","77-1",2.10679959563256,0.262839967256484,0.177333036563401,47.8110218325,0.343188995451009,-24.3852833290562
