"","x"
"1","1643"
"2","7803"
"3","25861"
"4","29965"
"5","85459"
"6","4488"
"7","56474"
"8","56963"
"9","51191"
"10","8337"
"11","8493"
"12","9148"
"13","723790"
"14","55632"
"15","100144748"
"16","57828"
"17","60509"
"18","27165"
"19","51557"
"20","5198"
"21","8671"
"22","83667"
"23","57622"
"24","5453"
"25","8339"
"26","22837"
"27","132"
"28","8797"
"29","26263"
"30","55585"
"31","84722"
"32","8463"
"33","57369"
"34","199699"
"35","148756"
"36","127544"
"37","124997"
"38","57763"
"39","8970"
"40","43"
"41","105373311"
"42","284252"
"43","5141"
"44","6772"
"45","2232"
"46","441631"
"47","27184"
"48","8531"
"49","126820"
"50","7155"
"51","3012"
"52","284080"
"53","9001"
"54","6547"
"55","7633"
"56","127281"
"57","57549"
"58","389792"
"59","56999"
"60","740"
"61","55118"
"62","203068"
"63","54443"
"64","23090"
"65","8877"
"66","64782"
"67","256949"
"68","23468"
"69","6427"
"70","57535"
"71","79866"
"72","23331"
"73","639"
"74","1647"
"75","84818"
"76","2905"
"77","7840"
"78","83959"
"79","26031"
"80","1063"
"81","10376"
"82","60492"
"83","5138"
"84","309"
"85","4598"
"86","28981"
"87","529"
"88","387119"
"89","4172"
"90","3006"
"91","6494"
"92","8878"
"93","84904"
"94","8811"
"95","11334"
"96","9493"
"97","55367"
"98","6330"
"99","148808"
"100","83479"
"101","94241"
"102","5347"
"103","4354"
"104","5424"
"105","105375039"
"106","100216545"
"107","374786"
"108","25946"
"109","3835"
"110","11200"
"111","116843"
"112","9404"
"113","6882"
"114","701"
"115","7508"
"116","5218"
"117","378805"
"118","59349"
"119","6382"
"120","5933"
"121","440359"
"122","240"
"123","84250"
"124","27350"
"125","286"
"126","2491"
"127","8720"
"128","8365"
"129","57050"
"130","84989"
"131","79857"
"132","11103"
"133","340485"
"134","115201"
"135","2876"
"136","101926888"
"137","4436"
"138","64901"
"139","4026"
"140","50484"
"141","81688"
"142","26256"
"143","55790"
"144","201134"
"145","51278"
"146","90417"
"147","6839"
"148","23308"
"149","115703"
"150","585"
"151","127829"
"152","57103"
"153","5143"
"154","6310"
"155","55366"
"156","494514"
"157","220"
"158","7486"
"159","26586"
"160","388407"
"161","163786"
"162","125061"
"163","84875"
"164","10592"
"165","8347"
"166","3397"
"167","1263"
"168","25802"
"169","7474"
"170","57132"
"171","387921"
"172","2013"
"173","7832"
"174","9518"
"175","355"
"176","4796"
"177","56992"
"178","222229"
"179","2651"
"180","57501"
"181","84280"
"182","22824"
"183","85451"
"184","9656"
"185","151056"
"186","51092"
"187","891"
"188","27244"
"189","2185"
"190","10926"
"191","283463"
"192","64773"
"193","699"
"194","54936"
"195","55320"
"196","57822"
"197","6303"
"198","1062"
"199","90141"
"200","26154"
"201","51477"
"202","201163"
"203","3619"
"204","317648"
"205","307"
"206","84628"
"207","220001"
"208","8110"
"209","9824"
"210","23362"
"211","285671"
"212","145282"
"213","24137"
"214","400954"
"215","54458"
"216","115290"
"217","353500"
"218","3014"
"219","57608"
"220","1894"
"221","6546"
"222","132320"
"223","55312"
"224","27347"
"225","55559"
"226","4175"
"227","64393"
"228","4919"
"229","388021"
"230","753"
"231","253827"
"232","80178"
"233","100289341"
"234","84303"
"235","2870"
"236","1468"
"237","7064"
"238","222236"
"239","51337"
"240","81704"
"241","54908"
"242","130940"
"243","11313"
"244","80020"
"245","8349"
"246","8492"
"247","151176"
"248","147807"
"249","1967"
"250","54930"
"251","79077"
"252","94030"
"253","7754"
"254","196513"
"255","113157"
"256","2702"
"257","388499"
"258","80852"
"259","28232"
"260","6432"
"261","220359"
"262","4356"
"263","10939"
"264","125476"
"265","6434"
"266","647033"
"267","101927789"
"268","23093"
"269","79694"
"270","8490"
"271","5912"
"272","389941"
"273","10403"
"274","4357"
"275","283807"
"276","9055"
"277","4983"
"278","996"
"279","153830"
"280","5892"
"281","22974"
"282","2135"
"283","23053"
"284","8398"
"285","1028"
"286","10082"
"287","283687"
"288","5831"
"289","55696"
"290","7126"
"291","94027"
"292","55635"
"293","4171"
"294","3832"
"295","1909"
"296","8883"
"297","57576"
"298","374987"
"299","55355"
"300","146909"
"301","55823"
"302","259266"
"303","51209"
"304","132671"
"305","1460"
"306","100268168"
"307","29950"
"308","84958"
"309","55588"
"310","92610"
"311","388650"
"312","6284"
"313","5923"
"314","580"
"315","100129716"
"316","374618"
"317","81031"
"318","2189"
"319","5145"
"320","55746"
"321","8618"
"322","8309"
"323","89796"
"324","9568"
"325","79048"
"326","1000"
"327","8678"
"328","3991"
"329","5557"
"330","7374"
"331","81930"
"332","9928"
"333","8601"
"334","64787"
"335","23310"
"336","10715"
"337","3795"
"338","51763"
"339","29919"
"340","26511"
"341","23479"
"342","55314"
"343","3177"
"344","8794"
"345","29089"
"346","56155"
"347","5422"
"348","100505994"
"349","23516"
"350","1896"
"351","11270"
"352","8914"
"353","7013"
"354","9833"
"355","11113"
"356","55247"
"357","28956"
"358","51665"
"359","5888"
"360","8367"
"361","9415"
"362","340719"
"363","91687"
"364","129401"
"365","1058"
"366","220134"
"367","9913"
"368","9212"
"369","65080"
"370","11073"
"371","23265"
"372","7272"
"373","899"
"374","23658"
"375","10024"
"376","55959"
"377","10606"
"378","5983"
"379","6988"
"380","79102"
"381","55332"
"382","5875"
"383","79783"
"384","6450"
"385","114879"
"386","4288"
"387","79701"
"388","4751"
"389","9901"
"390","23366"
"391","79968"
"392","388588"
"393","7980"
"394","8910"
"395","10112"
"396","162681"
"397","207063"
"398","6505"
"399","27085"
"400","6049"
"401","4193"
"402","10714"
"403","221150"
"404","728730"
"405","5095"
"406","54821"
"407","1949"
"408","55771"
"409","5565"
"410","26271"
"411","26147"
"412","29095"
"413","3914"
"414","134147"
"415","23397"
"416","84823"
"417","27113"
"418","6721"
"419","991"
"420","64320"
"421","3053"
"422","9118"
"423","79980"
"424","55872"
"425","1528"
"426","10055"
"427","471"
"428","85236"
"429","284385"
"430","1111"
"431","55143"
"432","80760"
"433","100506302"
"434","142"
"435","287"
"436","219539"
"437","54962"
"438","9787"
"439","60401"
"440","11030"
"441","83540"
"442","25788"
"443","6604"
"444","115701"
"445","1786"
"446","54069"
"447","374393"
"448","10016"
"449","79073"
"450","650669"
"451","4085"
"452","121665"
"453","1033"
"454","7516"
"455","10036"
"456","11004"
"457","2119"
"458","11041"
"459","201255"
"460","54825"
"461","647979"
"462","10424"
"463","116349"
"464","441150"
"465","79596"
"466","6491"
"467","51175"
"468","29899"
"469","51686"
"470","5427"
"471","649446"
"472","84515"
"473","3930"
"474","10051"
"475","10494"
"476","51512"
"477","606553"
"478","89839"
"479","9121"
"480","55733"
"481","29789"
"482","286077"
"483","79986"
"484","55388"
"485","54839"
"486","401264"
"487","10346"
"488","79745"
"489","9802"
"490","27242"
"491","347240"
"492","5861"
"493","817"
"494","79944"
"495","51390"
"496","10733"
"497","29028"
"498","993"
"499","3280"
"500","84899"
"501","4157"
"502","55135"
"503","150468"
"504","85444"
"505","57405"
"506","92840"
"507","60626"
"508","440081"
"509","282997"
"510","147138"
"511","26022"
"512","145508"
"513","11065"
"514","9223"
"515","6470"
"516","55561"
"517","56961"
"518","2175"
"519","29127"
"520","775"
"521","27338"
"522","4891"
"523","55835"
"524","283130"
"525","4174"
"526","332"
"527","84824"
"528","3017"
"529","9550"
"530","9553"
"531","7866"
"532","1026"
"533","2177"
"534","54892"
"535","9910"
"536","9100"
"537","10007"
"538","50937"
"539","4052"
"540","2954"
"541","79801"
"542","598"
"543","54780"
"544","11142"
"545","79621"
"546","84790"
"547","22929"
"548","91351"
"549","57646"
"550","51514"
"551","83990"
"552","55165"
"553","100506190"
"554","111"
"555","79019"
"556","643236"
"557","9837"
"558","113177"
"559","64105"
"560","3161"
"561","90381"
"562","1633"
"563","8470"
"564","7153"
"565","9050"
"566","33"
"567","50940"
"568","6827"
"569","64784"
"570","4176"
"571","151648"
"572","10131"
"573","124222"
"574","80206"
"575","284992"
"576","10535"
"577","7251"
"578","143888"
"579","5796"
"580","374378"
"581","23594"
"582","29128"
"583","56122"
"584","488"
"585","10615"
"586","23219"
"587","85315"
"588","9592"
"589","333"
"590","9585"
"591","5985"
"592","55083"
"593","990"
"594","10721"
"595","147007"
"596","55166"
"597","100288637"
"598","55215"
"599","64425"
"600","641"
"601","392617"
"602","5140"
"603","10500"
"604","130733"
"605","1663"
"606","672"
"607","27342"
"608","55722"
"609","105376779"
"610","3295"
"611","1841"
"612","6990"
"613","8736"
"614","148206"
"615","57082"
"616","2595"
"617","64151"
"618","5099"
"619","25949"
"620","11339"
"621","124995"
"622","375444"
"623","9133"
"624","201725"
"625","79690"
"626","9444"
"627","83596"
"628","10675"
"629","54386"
"630","84057"
"631","51741"
"632","102724334"
"633","253558"
"634","136647"
"635","10635"
"636","114659"
"637","10103"
"638","55684"
"639","83696"
"640","2956"
"641","10052"
"642","10400"
"643","84920"
"644","9700"
"645","6941"
"646","728806"
"647","11130"
"648","79738"
"649","139886"
"650","128239"
"651","80003"
"652","221491"
"653","8318"
"654","875"
"655","345557"
"656","79858"
"657","102724560"
"658","54994"
"659","6924"
"660","57650"
"661","1870"
"662","51594"
"663","51372"
"664","65055"
"665","55331"
"666","5909"
"667","3833"
"668","26255"
"669","126133"
"670","153527"
"671","283932"
"672","89958"
"673","348654"
"674","9991"
"675","91433"
"676","8208"
"677","55825"
"678","151246"
"679","283624"
"680","79832"
"681","6223"
"682","6195"
"683","10486"
"684","1298"
"685","4973"
"686","51203"
"687","55837"
"688","6880"
"689","51196"
"690","10478"
"691","9156"
"692","994"
"693","445815"
"694","105371931"
"695","23178"
"696","162655"
"697","70"
"698","55732"
"699","55010"
"700","642846"
"701","3274"
"702","375057"
"703","79172"
"704","1368"
"705","6586"
"706","9232"
"707","84695"
"708","8829"
"709","9557"
"710","65264"
"711","56061"
"712","84299"
"713","9146"
"714","55345"
"715","81620"
"716","51065"
"717","54927"
"718","29110"
"719","5827"
"720","55789"
"721","11231"
"722","7112"
"723","63967"
"724","388389"
"725","342184"
"726","80856"
"727","23281"
"728","890"
"729","2305"
"730","51534"
"731","1606"
"732","79075"
"733","6241"
"734","84313"
"735","282996"
"736","5984"
"737","51659"
"738","219790"
"739","163227"
"740","8396"
"741","55038"
"742","113130"
"743","10579"
"744","11149"
"745","10313"
"746","100134713"
"747","10293"
"748","219541"
"749","55055"
"750","79723"
"751","4605"
"752","4023"
"753","201501"
"754","147841"
"755","64770"
"756","55033"
"757","6262"
"758","3363"
"759","53616"
"760","23513"
"761","3838"
"762","83450"
"763","51043"
"764","26249"
"765","157313"
"766","619279"
"767","4684"
"768","995"
"769","283131"
"770","5936"
"771","22937"
"772","8828"
"773","55839"
"774","55571"
"775","4613"
"776","51249"
"777","56922"
"778","1308"
"779","54058"
"780","63908"
"781","157570"
"782","51499"
"783","285343"
"784","53947"
"785","199720"
"786","79000"
"787","675"
"788","79366"
"789","83903"
"790","26035"
"791","221143"
"792","57452"
"793","51661"
"794","727910"
"795","26153"
"796","10460"
"797","9319"
"798","22902"
"799","64061"
"800","5982"
"801","10421"
"802","64946"
"803","54982"
"804","29119"
"805","166614"
"806","7786"
"807","23456"
"808","4249"
"809","283431"
"810","91584"
"811","101927599"
"812","115572"
"813","1163"
"814","5837"
"815","1756"
"816","230"
"817","26053"
"818","4041"
"819","4998"
"820","27044"
"821","79677"
"822","10659"
"823","1605"
"824","84700"
"825","1608"
"826","116028"
"827","54478"
"828","88"
"829","80144"
"830","23632"
"831","10001"
"832","373863"
"833","54970"
"834","10666"
"835","4016"
"836","6480"
"837","55266"
"838","83541"
"839","3653"
"840","5426"
"841","9768"
"842","54808"
"843","79084"
"844","100506599"
"845","79915"
"846","29105"
"847","7402"
"848","220042"
"849","144404"
"850","898"
"851","5550"
"852","144453"
"853","51382"
"854","983"
"855","284403"
"856","22995"
"857","51463"
"858","83461"
"859","63922"
"860","55815"
"861","9735"
"862","9126"
"863","166785"
"864","8565"
"865","400120"
"866","55662"
"867","11169"
"868","342892"
"869","7468"
"870","8725"
"871","10011"
"872","728392"
"873","11064"
"874","493"
"875","23421"
"876","57578"
"877","116496"
"878","8649"
"879","8438"
"880","8833"
"881","730091"
"882","8761"
